iter	Passed	Remaining
1091	2616	2175
1092	2618	2172
1093	2619	2169
1094	2621	2166
1095	2622	2163
1096	2625	2160
1097	2626	2157
1098	2628	2154
1099	2629	2151
1100	2631	2148
1101	2632	2145
1102	2634	2142
1103	2636	2139
1104	2638	2136
1105	2640	2134
1106	2642	2131
1107	2644	2128
1108	2645	2125
1109	2647	2122
1110	2649	2119
1111	2650	2116
1112	2652	2114
1113	2656	2112
1114	2658	2110
1115	2660	2107
1116	2662	2104
1117	2663	2101
1118	2665	2098
1119	2667	2096
1120	2670	2093
1121	2672	2091
1122	2674	2088
1123	2675	2085
1124	2677	2082
1125	2679	2079
1126	2681	2077
1127	2683	2074
1128	2685	2071
1129	2687	2069
1130	2689	2066
1131	2692	2064
1132	2694	2062
1133	2696	2059
1134	2698	2056
1135	2700	2053
1136	2703	2051
1137	2704	2048
1138	2706	2045
1139	2708	2043
1140	2710	2040
1141	2711	2037
1142	2713	2034
1143	2715	2031
1144	2716	2028
1145	2719	2026
1146	2721	2024
1147	2724	2021
1148	2725	2018
1149	2727	2015
1150	2728	2012
1151	2730	2009
1152	2731	2006
1153	2734	2004
1154	2736	2001
1155	2738	1999
1156	2740	1996
1157	2742	1993
1158	2744	1991
1159	2746	1988
1160	2748	1985
1161	2750	1983
1162	2752	1981
1163	2754	1978
1164	2756	1975
1165	2757	1972
1166	2759	1969
1167	2760	1966
1168	2762	1963
1169	2763	1960
1170	2766	1958
1171	2768	1955
1172	2769	1952
1173	2771	1949
1174	2773	1947
1175	2775	1944
1176	2777	1941
1177	2778	1939
1178	2781	1936
1179	2783	1934
1180	2784	1931
1181	2786	1928
1182	2788	1925
1183	2790	1922
1184	2791	1920
1185	2794	1917
1186	2796	1915
1187	2798	1912
1188	2800	1910
1189	2801	1907
1190	2803	1904
1191	2805	1901
1192	2807	1899
1193	2809	1896
1194	2810	1893
1195	2813	1891
1196	2815	1888
1197	2816	1885
1198	2818	1883
1199	2821	1880
1200	2823	1878
1201	2825	1875
1202	2827	1873
1203	2829	1870
1204	2831	1868
1205	2833	1865
1206	2835	1862
1207	2837	1860
1208	2838	1857
1209	2840	1854
1210	2842	1852
1211	2846	1850
1212	2848	1847
1213	2849	1845
1214	2852	1842
1215	2853	1839
1216	2855	1836
1217	2856	1834
1218	2858	1831
1219	2861	1829
1220	2863	1827
1221	2865	1824
1222	2867	1821
1223	2869	1819
1224	2871	1816
1225	2872	1813
1226	2874	1810
1227	2877	1808
1228	2878	1805
1229	2880	1803
1230	2882	1800
1231	2884	1797
1232	2885	1795
1233	2887	1792
1234	2888	1789
1235	2890	1786
1236	2892	1784
1237	2894	1781
1238	2895	1778
1239	2897	1776
1240	2899	1773
1241	2901	1770
1242	2902	1767
1243	2904	1765
1244	2906	1762
1245	2908	1760
1246	2910	1757
1247	2912	1754
1248	2914	1752
1249	2916	1749
1250	2917	1747
1251	2919	1744
1252	2921	1741
1253	2923	1738
1254	2925	1736
1255	2927	1733
1256	2928	1731
1257	2930	1728
1258	2932	1725
1259	2934	1723
1260	2936	1720
1261	2937	1718
1262	2941	1716
1263	2942	1713
1264	2944	1710
1265	2946	1708
1266	2948	1705
1267	2949	1702
1268	2951	1700
1269	2953	1697
1270	2956	1695
1271	2957	1692
1272	2959	1689
1273	2960	1687
1274	2962	1684
1275	2963	1681
1276	2965	1678
1277	2966	1676
1278	2968	1673
1279	2970	1670
1280	2972	1668
1281	2973	1665
1282	2975	1662
1283	2976	1660
1284	2978	1657
1285	2980	1655
1286	2982	1652
1287	2984	1649
1288	2986	1647
1289	2988	1644
1290	2990	1642
1291	2991	1639
1292	2993	1636
1293	2995	1634
1294	2996	1631
1295	2998	1628
1296	2999	1626
1297	3001	1623
1298	3004	1621
1299	3005	1618
1300	3007	1615
1301	3009	1613
1302	3010	1610
1303	3012	1607
1304	3013	1605
1305	3015	1602
1306	3017	1600
1307	3019	1597
1308	3021	1594
1309	3022	1592
1310	3024	1589
1311	3026	1587
1312	3028	1584
1313	3029	1581
1314	3031	1579
1315	3033	1576
1316	3035	1574
1317	3037	1571
1318	3039	1569
1319	3041	1566
1320	3043	1564
1321	3045	1561
1322	3046	1558
1323	3048	1556
1324	3051	1554
1325	3052	1551
1326	3054	1549
1327	3056	1546
1328	3058	1543
1329	3059	1541
1330	3061	1538
1331	3062	1535
1332	3064	1533
1333	3066	1531
1334	3068	1528
1335	3069	1525
1336	3071	1523
1337	3073	1520
1338	3075	1518
1339	3077	1515
1340	3078	1512
1341	3080	1510
1342	3083	1508
1343	3084	1505
1344	3086	1503
1345	3088	1500
